SKILLCOSTS: 1 0  => 0x0
SKILLATTRIBUTE: "weapon"  => 0x1
SKILLRANGE: 1 "Plus"  => 0x2
SKILLATTRIBUTE: "cantmiss"  => 0x3
SKILLATTRIBUTE: "affinity"  => 0x4
SKILLMETER: "None" 0 0  => 0x5
SKILLJOBPOINTCOST: 0  => 0x6
SKILLLEVEL: 0  => 0x7
SKILLMETER: "none" 0 0  => 0x8
SKILLEFFECT: "Status Only" 100 1  => 0x9
SKILLANIM: "affinityAttack1"  => 0xa
SKILLCOMBATMODS: 0 1  => 0xb
SKILLCOMBOBUTTON: "rdown"  => 0xc
SKILLTARGETCONDITION: "any square"  => 0xd
SKILLEFFECTCONDITION: "enemy only"  => 0xe
SKILLATTRIBUTE: "ranged"  => 0xf
SKILLLEVEL: 3  => 0x10
SKILLJOBPOINTCOST: 10  => 0x11
SKILLJOBPOINTCOST: 4  => 0x12
SKILLJOBPOINTCOST: 20  => 0x13
SKILLCOMBATMODS: 0 0.5  => 0x14
SKILLCOSTS: 1 20  => 0x15
SKILLLEVEL: 1  => 0x16
SKILLSTATUSTARGET: "Target Unit" 0 "Self"  => 0x17
SKILLJOBPOINTCOST: 36  => 0x18
SKILLATTRIBUTE: "piercing"  => 0x19
SKILLRANGE: 0 "Self"  => 0x1a
SKILLCOMBATMODS: 0 0.25  => 0x1b
SKILLPROJECTILESEQUENCE: "linear" "ifevaded" "chainstraight" 1  => 0x1c
SKILLAFFCOST: 80  => 0x1d
SKILLAFFCOST: 40  => 0x1e
SKILLATTRIBUTE: "spell"  => 0x1f
SKILLAFFCOST: 60  => 0x20
SKILLLEVEL: 7  => 0x21
SKILLAFFINITY: "Earth"  => 0x22
SKILLEFFECTRANGE: 32 "Square"  => 0x23
SKILLAFFINITY: "Fire"  => 0x24
SKILLEFFECT: "Status Only" 100 0  => 0x25
SKILLAFFINITY: "Air"  => 0x26
SKILLFXSWING: "template_swingFXSwordMedium"  => 0x27
SKILLCOSTS: 1 30  => 0x28
SKILLATTRIBUTE: "okwithnotargets"  => 0x29
SKILLLEVEL: 14  => 0x2a
SKILLAFFINITY: "Water"  => 0x2b
SKILLAFFCOST: 100  => 0x2c
SKILLFXSWING: "template_summonAffinityBeast"  => 0x2d
SKILLCOSTS: 1 10  => 0x2e
SKILLSTATUSDURATION: "Permanent" 1  => 0x2f
SKILLATTRIBUTE: "melee"  => 0x30
SKILLATTRIBUTE: "movetoattack"  => 0x31
SKILLCOSTS: 1 40  => 0x32
SKILLCOMBATMODS: 0 1.2  => 0x33
SKILLSTATUSCHANCE: 100  => 0x34
SKILLEXCLUDERANGE: 1 "Square"  => 0x35
SKILLANIMSPEED: "affinityAttack2" 0.4  => 0x36
SKILLSTATUSDURATION: "Stack Source Mult" 1.5  => 0x37
SKILLCOMBATMODS: 0 1.1  => 0x38
SKILLJOBPOINTCOST: 6  => 0x39
SKILLPROJECTILE: "weapon1" "xaxis" 6  => 0x3a
SKILLLEVEL: 2  => 0x3b
SKILLSTATUSDURATION: "Stack Source Mult" 1  => 0x3c
SKILLLEVEL: 4  => 0x3d
SKILLJOBPOINTCOST: 22  => 0x3e
SKILLEFFECTRANGE: 0 "Self"  => 0x3f
SKILLMETER: "Bounce2" 1 0.5  => 0x40
SKILLMETER: "none" 1 1  => 0x41
SKILLJOBPOINTCOST: 34  => 0x42
SKILLJOBPOINTCOST: 12  => 0x43
SKILLFX: "template_AffHitEarthH"  => 0x44
SKILLCOSTS: 1 50  => 0x45
SKILLAFFINITY: "None"  => 0x46
SKILLSTATUSINTERVAL: "Stack Absolute" 1  => 0x47
SKILLPROJECTILEATTR: "nontarget"  => 0x48
SKILLFX: "template_AffHitFireH"  => 0x49
SKILLSTATUSDURATION: "Permanent" 0  => 0x4a
SKILLCOMBATMODS: 0 1.5  => 0x4b
SKILLFX: "template_AffHitWindH"  => 0x4c
SKILLANIMSTARTFRAME: 4  => 0x4d
SKILLFX: "template_AffHitWaterH"  => 0x4e
SKILLUSECLASS: "Other"  => 0x4f
SKILLANIM: "reactEvade"  => 0x50
SKILLFX: "template_Turtle"  => 0x51
SKILLJOBPOINTCOST: 18  => 0x52
SKILLSOUND: "036.036"  => 0x53
SKILLRANGE: 4 "Diamond"  => 0x54
SKILLPROJECTILE: "weapon1" "minusyaxis" 11  => 0x55
SKILLLEVEL: 5  => 0x56
SKILLUSECLASS: "Ludo"  => 0x57
SKILLUSECLASS: "Valens"  => 0x58
SKILLUSECLASS: "Secutor"  => 0x59
SKILLUSECLASS: "Peltast"  => 0x5a
SKILLUSECLASS: "Murmillo"  => 0x5b
SKILLUSECLASS: "Berserker"  => 0x5c
SKILLPROJECTILE: "weapon2" "yaxis" 6  => 0x5d
SKILLATTRIBUTE: "noninterface"  => 0x5e
SKILLUSECLASS: "Ursula"  => 0x5f
SKILLUSECLASS: "Satyr"  => 0x60
SKILLUSECLASS: "Minotaur"  => 0x61
SKILLLEVEL: 10  => 0x62
SKILLCOMBOBUTTON: "rright"  => 0x63
SKILLUSECLASS: "Mongrel"  => 0x64
SKILLUSECLASS: "Legionnaire"  => 0x65
SKILLUSECLASS: "Eiji"  => 0x66
SKILLUSECLASS: "Centurion"  => 0x67
SKILLUSECLASS: "Amazon"  => 0x68
SKILLLEVEL: 20  => 0x69
SKILLLEVEL: 19  => 0x6a
SKILLUSECLASS: "Yeti"  => 0x6b
SKILLUSECLASS: "Urlan"  => 0x6c
SKILLUSECLASS: "Samnite"  => 0x6d
SKILLUSECLASS: "Ogre"  => 0x6e
SKILLUSECLASS: "MongrelShaman"  => 0x6f
SKILLUSECLASS: "Gwazi"  => 0x70
SKILLUSECLASS: "Dervish"  => 0x71
SKILLUSECLASS: "Archer"  => 0x72
SKILLSOUND: "037.037"  => 0x73
SKILLLEVEL: 9  => 0x74
SKILLJOBPOINTCOST: 8  => 0x75
SKILLJOBPOINTCOST: 38  => 0x76
SKILLJOBPOINTCOST: 24  => 0x77
SKILLUSECLASS: "Gungnir"  => 0x78
SKILLUSECLASS: "Barbarian"  => 0x79
SKILLLEVEL: 18  => 0x7a
SKILLLEVEL: 16  => 0x7b
SKILLLEVEL: 12  => 0x7c
SKILLLEVEL: 11  => 0x7d
SKILLJOBPOINTCOST: 40  => 0x7e
SKILLJOBPOINTCOST: 32  => 0x7f
SKILLEFFECTFX: "template_Turtle"  => 0x80
SKILLLEVEL: 8  => 0x81
SKILLLEVEL: 13  => 0x82
SKILLUSECLASS: "Cyclops"  => 0x83
SKILLSTATUS: "petrification" 100 1  => 0x84
SKILLLEVEL: 17  => 0x85
SKILLFX: "template_AffHitDarkM"  => 0x86
SKILLANIMSTARTFRAME: 1  => 0x87
SKILLUSECLASS: "Summoner"  => 0x88
SKILLLEVEL: 6  => 0x89
SKILLEFFECTRANGE: 1 "SrcLinear2x2"  => 0x8a
SKILLDEFENDHANIM: "hitWeakF"  => 0x8b
SKILLATTRIBUTE: "bite"  => 0x8c
SKILLUSECLASS: "Bandit"  => 0x8d
SKILLRANGE: 1 "Plus2x2"  => 0x8e
SKILLLEVEL: 15  => 0x8f
SKILLDISPLAYNAMEID: 3607  => 0x90
SKILLSTATUS: "frozen" 100 1  => 0x91
SKILLRANGE: 1 "Square"  => 0x92
SKILLFX: "template_AffHitWindL"  => 0x93
SKILLSTATUSDURATION: "Stack Target Mult" 1  => 0x94
SKILLRANGE: 7 "Square"  => 0x95
SKILLMETER: "Basic" 1 1  => 0x96
SKILLJOBPOINTCOST: 30  => 0x97
SKILLFXCTAG: "affinityAir_affinity4Shower"  => 0x98
SKILLUSECLASS: "Channeler"  => 0x99
SKILLTARGETCONDITION: "enemy only"  => 0x9a
SKILLFX: "template_AffHitFireM"  => 0x9b
SKILLDISPLAYNAMEID: 4019  => 0x9c
SKILLUSECLASS: "Wolf"  => 0x9d
SKILLUSECLASS: "UndeadCaster"  => 0x9e
SKILLUSECLASS: "Scorpion"  => 0x9f
SKILLUSECLASS: "Scarab"  => 0xa0
SKILLUSECLASS: "Cat"  => 0xa1
SKILLSOUND: "038.038"  => 0xa2
SKILLFXCTAG: "affinityFire_affinity4Shower"  => 0xa3
SKILLFX: "template_AffHitEarthL"  => 0xa4
SKILLDISPLAYNAMEID: 4003  => 0xa5
SKILLDISPLAYNAMEID: 4002  => 0xa6
SKILLFXCTAG: "affinityEarth_affinity4Shower"  => 0xa7
SKILLFX: "template_AffHitFireL"  => 0xa8
SKILLEFFECT: "Avoid" 100 1  => 0xa9
SKILLDISPLAYNAMEID: 7827  => 0xaa
SKILLCOMBOBUTTON: "rup"  => 0xab
SKILLAFFINITY: "Dark"  => 0xac
SKILLUSECLASS: "UndeadMelee"  => 0xad
SKILLUSECLASS: "DarkLegionnaire"  => 0xae
SKILLRANGE: 5 "Diamond"  => 0xaf
SKILLMETER: "Bounce1" 1 0.5  => 0xb0
SKILLFXCTAG: "affinityWater_affinity4Shower"  => 0xb1
SKILLFX: "template_AffHitWaterL"  => 0xb2
SKILLFX: "amazon_sparksHit"  => 0xb3
SKILLDESCRIPTIONID: 6541  => 0xb4
SKILLDESCRIPTIONID: 6540  => 0xb5
SKILLATTRIBUTE: "los_sourcetargetoff"  => 0xb6
SKILLUSECLASS: "Mutuus"  => 0xb7
SKILLUSECLASS: "Bear"  => 0xb8
SKILLSTATUSDURATION: "Until Negated" 1  => 0xb9
SKILLSTATUS: "poison" 100 5  => 0xba
SKILLSOUND: "039.039"  => 0xbb
SKILLFX: "template_AffHitWindM"  => 0xbc
SKILLFX: "template_AffHitWaterM"  => 0xbd
SKILLFX: "template_AffHitEarthM"  => 0xbe
SKILLDESCRIPTIONID: 6564  => 0xbf
SKILLDESCRIPTIONID: 6563  => 0xc0
SKILLDESCRIPTIONID: 6547  => 0xc1
SKILLDESCRIPTIONID: 6546  => 0xc2
SKILLDESCRIPTIONID: 6528  => 0xc3
SKILLDESCRIPTIONID: 6527  => 0xc4
