0 , 5962 => 0x0
1 , 5410 => 0x1
SKILLATTRIBUTE: , 3039 => 0x2
SKILLJOBPOINTCOST: , 1811 => 0x3
SKILLCREATE: , 1811 => 0x4
SKILLUSECLASS: , 1798 => 0x5
SKILLLEVEL: , 1793 => 0x6
SKILLCOSTS: , 1660 => 0x7
SKILLDISPLAYNAMEID: , 1655 => 0x8
100 , 1642 => 0x9
SKILLMETER: , 1560 => 0xa
SKILLDESCRIPTIONID: , 1529 => 0xb
SKILLRANGE: , 1264 => 0xc
SKILLCOMBATMODS: , 1226 => 0xd
"Attack" , 1090 => 0xe
"Standard" , 1082 => 0xf
"weapon" , 882 => 0x10
SKILLFXSWING: , 848 => 0x11
SKILLEFFECT: , 836 => 0x12
SKILLANIM: , 830 => 0x13
SKILLFX: , 789 => 0x14
"Plus" , 720 => 0x15
I" , 635 => 0x16
SKILLSTATUS: , 616 => 0x17
SKILLSTATUSDURATION: , 600 => 0x18
"None" , 593 => 0x19
SKILLAFFINITY: , 590 => 0x1a
"cantmiss" , 579 => 0x1b
SKILLAFFCOST: , 575 => 0x1c
"affinity" , 574 => 0x1d
Only" , 547 => 0x1e
"Status , 547 => 0x1f
"Square" , 543 => 0x20
"none" , 511 => 0x21
II" , 503 => 0x22
4 , 448 => 0x23
"Stack , 448 => 0x24
20 , 444 => 0x25
10 , 430 => 0x26
ComboChain , 428 => 0x27
SKILLPREREQ: , 425 => 0x28
SKILLEFFECTRANGE: , 402 => 0x29
"Self" , 399 => 0x2a
III" , 396 => 0x2b
SKILLANIMTIME: , 374 => 0x2c
0.5 , 369 => 0x2d
2 , 353 => 0x2e
"affinityAttack1" , 336 => 0x2f
3 , 329 => 0x30
Mult" , 327 => 0x31
SKILLSOUND: , 324 => 0x32
"Innate" , 316 => 0x33
SKILLANIMSPEED: , 315 => 0x34
SKILLSUBSKILL: , 314 => 0x35
SKILLTARGETCONDITION: , 313 => 0x36
SKILLCOMBOBUTTON: , 313 => 0x37
5 , 310 => 0x38
6 , 307 => 0x39
40 , 296 => 0x3a
SKILLEFFECTCONDITION: , 295 => 0x3b
only" , 276 => 0x3c
square" , 265 => 0x3d
"enemy , 255 => 0x3e
"Support" , 241 => 0x3f
IV" , 239 => 0x40
Source , 222 => 0x41
"change , 221 => 0x42
"rdown" , 217 => 0x43
EarthAffinity , 215 => 0x44
